Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Protein digestion and absorption_Homo sapiens_hsa04974,5/90,1.58519037457553e-05,0.004644607797506303,0,0,15.873015873015873,175.4320786462117,COL1A1;COL3A1;COL1A2;COL6A1;COL6A3,KEGG_2016
ECM-receptor interaction_Homo sapiens_hsa04512,4/82,0.0001958881627646176,0.028697615845016476,0,0,13.937282229965158,118.9960510066416,COL1A1;COL1A2;COL6A1;COL6A3,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,6/341,0.0012319680633435498,0.12032221418655335,0,0,5.027230833682447,33.67813491487672,COL1A1;FGF7;COL1A2;COL6A1;COL6A3;NGF,KEGG_2016
Amoebiasis_Homo sapiens_hsa05146,3/100,0.00520972357949959,0.381612252198345,0,0,8.571428571428571,45.061958403279455,COL1A1;COL3A1;COL1A2,KEGG_2016
Asthma_Homo sapiens_hsa05310,2/31,0.0052586251195702975,0.3081554320068195,0,0,18.433179723502306,96.73521973292921,CCL11;MS4A2,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,3/101,0.005355888836647403,0.26154590485628154,0,0,8.486562942008486,44.38097827119207,COL1A1;COL3A1;COL1A2,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,4/202,0.005508810486951266,0.23058306752524585,0,0,5.657708628005657,29.428042781947894,COL1A1;COL1A2;COL6A1;COL6A3,KEGG_2016
Platelet activation_Homo sapiens_hsa04611,3/122,0.009007203620125352,0.329888832587091,0,0,7.0257611241217806,33.08944229199636,COL1A1;COL3A1;COL1A2,KEGG_2016
Rheumatoid arthritis_Homo sapiens_hsa05323,2/90,0.039693968534512535,1.0,0,0,6.34920634920635,20.48607002484912,CTSK;TNFSF11,KEGG_2016
One carbon pool by folate_Homo sapiens_hsa00670,1/20,0.06775151239299053,1.0,0,0,14.285714285714285,38.45583566182447,FTCD,KEGG_2016
Renin-angiotensin system_Homo sapiens_hsa04614,1/23,0.07751609910283618,1.0,0,0,12.422360248447205,31.7673246439332,MRGPRD,KEGG_2016
Osteoclast differentiation_Homo sapiens_hsa04380,2/132,0.07810757674520875,1.0,0,0,4.329004329004329,11.037524733588901,CTSK;TNFSF11,KEGG_2016
Histidine metabolism_Homo sapiens_hsa00340,1/24,0.0807485039378433,1.0,0,0,11.904761904761903,29.957331477815853,FTCD,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,2/140,0.08637296434102157,1.0,0,0,4.081632653061225,9.996247203506877,CTSK;NGF,KEGG_2016
SNARE interactions in vesicular transport_Homo sapiens_hsa04130,1/34,0.11246470247248323,1.0,0,0,8.403361344537815,18.362318171171935,STX18,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.13402175527885654,1.0,0,0,6.968641114982579,14.005248358060848,MMP9,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,2/203,0.15875677086008552,1.0,0,0,2.8149190710767065,5.180526364621295,LUM;MMP9,KEGG_2016
Ovarian steroidogenesis_Homo sapiens_hsa04913,1/50,0.16098104828531062,1.0,0,0,5.7142857142857135,10.436963619656767,HSD3B1,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,2/211,0.16862721745290046,1.0,0,0,2.7081922816519977,4.820757791030894,FGF7;NGF,KEGG_2016
Steroid hormone biosynthesis_Homo sapiens_hsa00140,1/58,0.1842492495438565,1.0,0,0,4.9261083743842375,8.332343945581144,HSD3B1,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,2/227,0.18866688706587706,1.0,0,0,2.5173064820641917,4.198294074900066,FGF7;NGF,KEGG_2016
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664,1/68,0.21244169328699591,1.0,0,0,4.201680672268908,6.508771902520052,MS4A2,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.22071056230041766,1.0,0,0,4.024144869215292,6.0800929926929435,FGF7,KEGG_2016
Prolactin signaling pathway_Homo sapiens_hsa04917,1/72,0.22344778852857491,1.0,0,0,3.9682539682539684,5.946736113462168,TNFSF11,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,2/255,0.2244372715409146,1.0,0,0,2.2408963585434174,3.3482555180164986,FGF7;NGF,KEGG_2016
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060,2/265,0.2373536685050401,1.0,0,0,2.1563342318059298,3.1012484700927145,CCL11;TNFSF11,KEGG_2016
Aldosterone synthesis and secretion_Homo sapiens_hsa04925,1/81,0.2476601935587781,1.0,0,0,3.5273368606701943,4.923095801217163,HSD3B1,KEGG_2016
NF-kappa B signaling pathway_Homo sapiens_hsa04064,1/93,0.27878924714484965,1.0,0,0,3.0721966205837177,3.9241141910493713,TNFSF11,KEGG_2016
