Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Leukocyte transendothelial migration_Homo sapiens_hsa04670,2/118,0.032638088929160536,1.0,0,0,7.062146892655367,24.168610879694853,CLDN24;CLDN7,KEGG_2016
Hepatitis C_Homo sapiens_hsa05160,2/133,0.040577206156871486,1.0,0,0,6.265664160401004,20.078626533458095,CLDN24;CLDN7,KEGG_2016
Tight junction_Homo sapiens_hsa04530,2/139,0.04393769774528996,1.0,0,0,5.9952038369304566,18.73490772672268,CLDN24;CLDN7,KEGG_2016
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514,2/142,0.04565578189304879,1.0,0,0,5.868544600938968,18.113996613495328,CLDN24;CLDN7,KEGG_2016
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601,1/26,0.060599948050273626,1.0,0,0,16.02564102564103,44.927263512234724,FUT7,KEGG_2016
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514,1/31,0.07183439859286861,1.0,0,0,13.440860215053766,35.395051459909986,FUT7,KEGG_2016
GABAergic synapse_Homo sapiens_hsa04727,1/88,0.190966652035684,1.0,0,0,4.734848484848485,7.839282494560096,GNG10,KEGG_2016
Morphine addiction_Homo sapiens_hsa05032,1/91,0.19680362708683685,1.0,0,0,4.5787545787545785,7.442989305011573,GNG10,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,1/95,0.2045221568875351,1.0,0,0,4.385964912280701,6.960872643552808,GNG10,KEGG_2016
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723,1/101,0.21596395615216224,1.0,0,0,4.125412541254127,6.322787767690508,GNG10,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,1/111,0.23467651282707594,1.0,0,0,3.7537537537537538,5.441243447081433,GNG10,KEGG_2016
Serotonergic synapse_Homo sapiens_hsa04726,1/112,0.2365235375281962,1.0,0,0,3.7202380952380953,5.363495355544114,GNG10,KEGG_2016
Glutamatergic synapse_Homo sapiens_hsa04724,1/114,0.24020450214852124,1.0,0,0,3.6549707602339176,5.212955505040863,GNG10,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,1/118,0.247514374330194,1.0,0,0,3.5310734463276834,4.9303906093152055,DIO1,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,1/127,0.2637107266260292,1.0,0,0,3.2808398950131235,4.373039727909113,EPHA1,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,1/129,0.2672632892574722,1.0,0,0,3.2299741602067185,4.2620187479756115,GNG10,KEGG_2016
Alcoholism_Homo sapiens_hsa05034,1/179,0.35081873612179865,1.0,0,0,2.3277467411545625,2.4382812155798343,GNG10,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,1/187,0.36329165730337737,1.0,0,0,2.228163992869875,2.256125899455759,GNG10,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,1/227,0.4222203969083332,1.0,0,0,1.83553597650514,1.5826502087464511,GNG10,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,1/341,0.5623935749801208,1.0,0,0,1.2218963831867058,0.7032665723845153,GNG10,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.6184546219017419,1.0,0,0,1.0495382031905962,0.5043361228226341,GNG10,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.9537359890572388,1.0,0,0,0.3362927091740651,0.015929643147653962,FUT7,KEGG_2016
