Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
HIF-1 signaling pathway_Homo sapiens_hsa04066,2/103,0.06266046173763204,1.0,0,0,4.915816640039326,13.616933142669824,MKNK1;ERBB2,KEGG_2016
Collecting duct acid secretion_Homo sapiens_hsa04966,1/27,0.10141186729159997,1.0,0,0,9.376465072667603,21.458651291506087,ATP4B,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.14992700913364404,1.0,0,0,6.1747452917567145,11.717238092575482,ERBB2,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,1/52,0.18622356658431616,1.0,0,0,4.868549172346642,8.183093262776028,ERBB2,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.19903931360733612,1.0,0,0,4.520795660036167,7.2977075856847415,ERBB2,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.23021336642329415,1.0,0,0,3.835826620636747,5.633865439151957,ERBB2,KEGG_2016
Central carbon metabolism in cancer_Homo sapiens_hsa05230,1/67,0.23326408659449144,1.0,0,0,3.7785754770451536,5.50003419002525,ERBB2,KEGG_2016
Bile secretion_Homo sapiens_hsa04976,1/71,0.24534804958018505,1.0,0,0,3.565697985380638,5.010081889886039,SLC51B,KEGG_2016
Gastric acid secretion_Homo sapiens_hsa04971,1/74,0.254287439767059,1.0,0,0,3.4211426616489913,4.684536432341936,ATP4B,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,1/74,0.254287439767059,1.0,0,0,3.4211426616489913,4.684536432341936,ERBB2,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,1/87,0.2918318497446042,1.0,0,0,2.9099374363451185,3.583813471911036,ERBB2,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,1/89,0.2974398065708461,1.0,0,0,2.8445455838429807,3.4491349888277623,ERBB2,KEGG_2016
Protein digestion and absorption_Homo sapiens_hsa04974,1/90,0.3002273194519669,1.0,0,0,2.8129395218002813,3.384572038686248,KCNJ13,KEGG_2016
Oxidative phosphorylation_Homo sapiens_hsa00190,1/133,0.4102977608991985,1.0,0,0,1.903492909488912,1.6957687956167518,ATP4B,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,1/139,0.4242298483176944,1.0,0,0,1.82132774792824,1.5617518906142256,MKNK1,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.5111111546503729,1.0,0,0,1.4064697609001406,0.9439777618223086,ERBB2,KEGG_2016
Huntington's disease_Homo sapiens_hsa05016,1/193,0.5358537765728775,1.0,0,0,1.3117334557617892,0.8183825802199898,DNAH12,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,1/202,0.5522548194472394,1.0,0,0,1.2532898859506203,0.7441354929060331,ERBB2,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,1/203,0.5540414531285842,1.0,0,0,1.247116044147908,0.7364416909549987,ERBB2,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,1/255,0.6378579569744374,1.0,0,0,0.9928021841648051,0.4464032349426266,MKNK1,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.6421875962496795,1.0,0,0,0.9812579727210282,0.43457444017235575,MYB,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,1/297,0.6940314941909151,1.0,0,0,0.8524059156970548,0.311330979692667,ERBB2,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,1/341,0.7436573462653795,1.0,0,0,0.7424180556071123,0.2198855980789917,MYB,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.7954710302500438,1.0,0,0,0.6376940981411217,0.14591770487559802,ERBB2,KEGG_2016
Olfactory transduction_Homo sapiens_hsa04740,1/415,0.809815979744001,1.0,0,0,0.6100350770169285,0.1286858274378046,OR2T2,KEGG_2016
