Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Protein digestion and absorption_Homo sapiens_hsa04974,3/90,0.005069491674602125,1.0,0,0,8.658008658008658,45.753374266885345,PRSS1;CPA1;CTRB1,KEGG_2016
Pancreatic secretion_Homo sapiens_hsa04972,3/96,0.006064973872223468,0.8885186722807381,0,0,8.116883116883116,41.438514972039435,PRSS1;CPA1;CTRB1,KEGG_2016
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601,1/26,0.09548437287799914,1.0,0,0,9.990009990009993,23.46446233436997,FUT5,KEGG_2016
Phototransduction_Homo sapiens_hsa04744,1/27,0.09897128507986963,1.0,0,0,9.620009620009617,22.2503657587146,GUCA1A,KEGG_2016
Fat digestion and absorption_Homo sapiens_hsa04975,1/41,0.14641732644952066,1.0,0,0,6.335128286347799,12.171646084211028,CLPS,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.14641732644952066,1.0,0,0,6.335128286347799,12.171646084211028,CDKN2A,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.19451743495280016,1.0,0,0,4.638218923933209,7.593847310208224,CDKN2A,KEGG_2016
Glioma_Homo sapiens_hsa05214,1/65,0.2220828186320809,1.0,0,0,3.996003996003996,6.012806832275791,CDKN2A,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.22508756085522197,1.0,0,0,3.9354584809130255,5.868814612845483,CDKN2A,KEGG_2016
p53 signaling pathway_Homo sapiens_hsa04115,1/69,0.23403322489408945,1.0,0,0,3.764351590438547,5.466938403827287,CDKN2A,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.2399402944088236,1.0,0,0,3.6583135174684465,5.221749258774184,CDKN2A,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,1/73,0.2458023961798632,1.0,0,0,3.558085749866572,4.992803178806492,CDKN2A,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,2/277,0.2888708527846617,1.0,0,0,1.8753809367527776,2.3288022259388845,PRSS1;ADORA2A,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,1/120,0.3714099734351279,1.0,0,0,2.1645021645021645,2.1438285212171144,ADORA2A,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,1/124,0.3810929668853574,1.0,0,0,2.0946795140343526,2.0207623084359563,CDKN2A,KEGG_2016
Parkinson's disease_Homo sapiens_hsa05012,1/142,0.4228758049698813,1.0,0,0,1.8291567587342237,1.5743126912721304,ADORA2A,KEGG_2016
Influenza A_Homo sapiens_hsa05164,1/175,0.4923730055643021,1.0,0,0,1.4842300556586268,1.051604761919085,PRSS1,KEGG_2016
Alcoholism_Homo sapiens_hsa05034,1/179,0.5002142120557579,1.0,0,0,1.4510629035768703,1.0051786232254742,ADORA2A,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.5021557596327069,1.0,0,0,1.443001443001443,0.9940042269320586,ADORA2A,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,1/199,0.537662248789203,1.0,0,0,1.305227435880702,0.8099258713279024,ADORA2A,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,1/205,0.5483465634130892,1.0,0,0,1.2670256572695595,0.7612895494923275,CDKN2A,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,1/211,0.5587871030963599,1.0,0,0,1.2309964916599991,0.7164236246779286,ADORA2A,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.6327369767466514,1.0,0,0,1.0067451927917044,0.4607877396128194,CDKN2A,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,1/297,0.6847007931319999,1.0,0,0,0.8745463290917835,0.3312548292374337,CDKN2A,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.7870694171539524,1.0,0,0,0.6542575812097222,0.15665466955712884,CDKN2A,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.9927999547651076,1.0,0,0,0.2096370135111055,0.001514856064208904,FUT5,KEGG_2016
