Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Vitamin B6 metabolism_Homo sapiens_hsa00750,1/6,0.022292714638201438,1.0,0,0,44.444444444444436,169.0442378547524,AOX1,KEGG_2016
mRNA surveillance pathway_Homo sapiens_hsa03015,2/91,0.04586293117115324,1.0,0,0,5.86080586080586,18.06357853747701,CPSF4;PABPC4L,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,2/120,0.07466170295320572,1.0,0,0,4.4444444444444455,11.532391094712304,RAMP3;CALD1,KEGG_2016
Maturity onset diabetes of the young_Homo sapiens_hsa04950,1/26,0.0931190960947256,1.0,0,0,10.256410256410255,24.347446173668303,HNF1A,KEGG_2016
Nicotinate and nicotinamide metabolism_Homo sapiens_hsa00760,1/29,0.1032969663744447,1.0,0,0,9.195402298850574,20.874917429220247,AOX1,KEGG_2016
Tyrosine metabolism_Homo sapiens_hsa00350,1/35,0.12331578196011432,1.0,0,0,7.6190476190476195,15.946719090059336,AOX1,KEGG_2016
RNA transport_Homo sapiens_hsa03013,2/172,0.1361742458939499,1.0,0,0,3.1007751937984502,6.182387576742173,PABPC4L;RGPD8,KEGG_2016
Tryptophan metabolism_Homo sapiens_hsa00380,1/40,0.13966077554387374,1.0,0,0,6.666666666666668,13.12359218996336,AOX1,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.14289350826497224,1.0,0,0,6.504065040650407,12.654670722568204,ERBB2,KEGG_2016
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",1/48,0.16518948328727814,1.0,0,0,5.5555555555555545,10.003678224501696,AOX1,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,1/52,0.1776720824614328,1.0,0,0,5.128205128205129,8.860593133598082,ERBB2,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.18997048614867384,1.0,0,0,4.761904761904762,7.908983594986465,ERBB2,KEGG_2016
Retinol metabolism_Homo sapiens_hsa00830,1/65,0.2169822579602424,1.0,0,0,4.102564102564103,6.268470520353364,AOX1,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.2199281443839533,1.0,0,0,4.040404040404041,6.1190076865338074,ERBB2,KEGG_2016
Central carbon metabolism in cancer_Homo sapiens_hsa05230,1/67,0.2228630949629938,1.0,0,0,3.9800995024875614,5.9749159004308225,ERBB2,KEGG_2016
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982,1/69,0.22870034854693455,1.0,0,0,3.864734299516909,5.701807358141041,AOX1,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,1/74,0.24310489088372236,1.0,0,0,3.603603603603603,5.096440645219029,ERBB2,KEGG_2016
RNA degradation_Homo sapiens_hsa03018,1/77,0.25161986808987913,1.0,0,0,3.463203463203464,4.778652087628315,PABPC4L,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,1/87,0.2793262076554437,1.0,0,0,3.0651340996168583,3.9091953320467607,ERBB2,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,1/89,0.28474478012245696,1.0,0,0,2.9962546816479403,3.76378129816593,ERBB2,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,1/103,0.3215654676682483,1.0,0,0,2.588996763754045,2.937356955588526,ERBB2,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,1/142,0.4145608193168538,1.0,0,0,1.8779342723004693,1.6535879545866683,HNF1A,KEGG_2016
Jak-STAT signaling pathway_Homo sapiens_hsa04630,1/158,0.4489662541693597,1.0,0,0,1.6877637130801688,1.3515739271162042,AOX1,KEGG_2016
Influenza A_Homo sapiens_hsa05164,1/175,0.4833370198617628,1.0,0,0,1.5238095238095242,1.1078721599459287,CPSF4,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.4930372484711671,1.0,0,0,1.4814814814814816,1.0476600786449048,ERBB2,KEGG_2016
Huntington's disease_Homo sapiens_hsa05016,1/193,0.5174248541668914,1.0,0,0,1.381692573402418,0.9103847650788948,DNAH12,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,1/202,0.5336267486004607,1.0,0,0,1.32013201320132,0.8291203393736429,ERBB2,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,1/203,0.5353934878958266,1.0,0,0,1.3136288998357966,0.8206940046414579,ERBB2,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,1/297,0.6750865319228271,1.0,0,0,0.8978675645342312,0.3527850961927861,ERBB2,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.7783235852592729,1.0,0,0,0.6717044500419815,0.16833781489023225,ERBB2,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.9918138112697246,1.0,0,0,0.21522733387140167,0.0017691427636433075,AOX1,KEGG_2016
