Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Vascular smooth muscle contraction_Homo sapiens_hsa04270,2/120,0.025137885908768358,1.0,0,0,8.130081300813007,29.94617213078053,RAMP3;CALD1,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.08077125867639877,1.0,0,0,11.897679952409279,29.936158074779428,ERBB2,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,1/52,0.10133547857013347,1.0,0,0,9.380863039399623,21.475785144166107,ERBB2,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.1087015302888756,1.0,0,0,8.710801393728223,19.33056974616321,ERBB2,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.12685990663061278,1.0,0,0,7.390983000739098,15.259954905986874,ERBB2,KEGG_2016
Central carbon metabolism in cancer_Homo sapiens_hsa05230,1/67,0.1286557674245928,1.0,0,0,7.2806698216235874,14.929850097624508,ERBB2,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,1/74,0.14112628102812688,1.0,0,0,6.5919578114700075,12.907713772543573,ERBB2,KEGG_2016
RNA degradation_Homo sapiens_hsa03018,1/77,0.14641732644952066,1.0,0,0,6.335128286347798,12.171646084211025,PABPC4L,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,1/87,0.16382548756159498,1.0,0,0,5.6069526212503495,10.142716669182619,ERBB2,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,1/89,0.16726531789712742,1.0,0,0,5.480953685941354,9.800898861818322,ERBB2,KEGG_2016
mRNA surveillance pathway_Homo sapiens_hsa03015,1/91,0.17069134132332706,1.0,0,0,5.360493165371215,9.476807156230347,PABPC4L,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,1/103,0.1909605485539521,1.0,0,0,4.7359696897939845,7.841290193435348,ERBB2,KEGG_2016
RNA transport_Homo sapiens_hsa03013,1/172,0.2984620921976069,1.0,0,0,2.8360748723766305,3.4291331495371966,PABPC4L,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.30998547693202344,1.0,0,0,2.710027100271003,3.1740645832161283,ERBB2,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,1/202,0.3407308853133136,1.0,0,0,2.4148756339048543,2.6000055684729357,ERBB2,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,1/203,0.3420961741841924,1.0,0,0,2.4029796948215787,2.577588298418989,ERBB2,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,1/297,0.4588364018658979,1.0,0,0,1.6424406668309106,1.2795623805624736,ERBB2,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.5608287010761113,1.0,0,0,1.2287276525158195,0.7106220627416653,ERBB2,KEGG_2016
