Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Propanoate metabolism_Homo sapiens_hsa00640,1/32,0.06210151106078767,1.0,0,0,15.625,43.421639963075684,BCKDHB,KEGG_2016
Proteasome_Homo sapiens_hsa03050,1/44,0.08440643303029116,1.0,0,0,11.363636363636365,28.092177949395808,PSMF1,KEGG_2016
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",1/48,0.09172582526946642,1.0,0,0,10.416666666666666,24.884909495490962,BCKDHB,KEGG_2016
mRNA surveillance pathway_Homo sapiens_hsa03015,1/91,0.16689311403362564,1.0,0,0,5.494505494505495,9.837372017596037,PPP2R2B,KEGG_2016
Glucagon signaling pathway_Homo sapiens_hsa04922,1/101,0.18348457872210075,1.0,0,0,4.950495049504951,8.394181458814943,PHKG1,KEGG_2016
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142,1/104,0.18839888544735434,1.0,0,0,4.807692307692308,8.024970349720695,PPP2R2B,KEGG_2016
TNF signaling pathway_Homo sapiens_hsa04668,1/110,0.1981411368718355,1.0,0,0,4.545454545454545,7.3580713169715475,ITCH,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,1/120,0.21412541218649167,1.0,0,0,4.166666666666667,6.421639155662539,PPP2R2B,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,1/124,0.22043176017939126,1.0,0,0,4.032258064516129,6.097448022733103,PPP2R2B,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,1/129,0.22824533973216898,1.0,0,0,3.875968992248062,5.726101461624818,PPP2R2B,KEGG_2016
Hepatitis C_Homo sapiens_hsa05160,1/133,0.2344411772713829,1.0,0,0,3.759398496240601,5.453197615618856,PPP2R2B,KEGG_2016
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,1/137,0.2405885068605035,1.0,0,0,3.6496350364963503,5.199515493584321,ITCH,KEGG_2016
Tight junction_Homo sapiens_hsa04530,1/139,0.24364409692168354,1.0,0,0,3.5971223021582737,5.079304811808925,PPP2R2B,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,1/139,0.24364409692168354,1.0,0,0,3.5971223021582737,5.079304811808925,PHKG1,KEGG_2016
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261,1/148,0.25724655583216,1.0,0,0,3.3783783783783785,4.586892880963327,PPP2R2B,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,1/151,0.2617274789361063,1.0,0,0,3.3112582781456954,4.438581037390363,ITCH,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.2647001066857073,1.0,0,0,3.2679738562091503,4.343652832370299,PPP2R2B,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.3037062849804392,1.0,0,0,2.7777777777777777,3.3102617012344564,PHKG1,KEGG_2016
Endocytosis_Homo sapiens_hsa04144,1/259,0.4066047848382679,1.0,0,0,1.9305019305019304,1.7372849612591188,ITCH,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,1/341,0.4976996440272797,1.0,0,0,1.4662756598240467,1.0231063172337365,PPP2R2B,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.9227447727623715,1.0,0,0,0.4035512510088781,0.03244657059529396,BCKDHB,KEGG_2016
