Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Long-term potentiation_Homo sapiens_hsa04720,2/66,0.03282046205988096,1.0,0,0,7.047216349541931,24.07824605223621,GRIA1;CAMK2D,KEGG_2016
Amphetamine addiction_Homo sapiens_hsa05031,2/67,0.033737540369749436,1.0,0,0,6.942034015966677,23.527553655361515,GRIA1;CAMK2D,KEGG_2016
p53 signaling pathway_Homo sapiens_hsa04115,2/69,0.035601512307861745,1.0,0,0,6.740815638692283,22.483095122807626,RRM2B;CCNG1,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,3/199,0.05448507208355078,1.0,0,0,3.505901601028397,10.201572472441539,GRIA1;TIAM1;CAMK2D,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,3/203,0.057163671017674375,1.0,0,0,3.436819796082025,9.835617038975169,TIAM1;CAMK2D;ITGA2,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,2/95,0.06311230005452048,1.0,0,0,4.895960832313341,13.526754462093534,GRIA1;CAMK2D,KEGG_2016
Glycosaminoglycan degradation_Homo sapiens_hsa00531,1/19,0.07864769465120389,1.0,0,0,12.23990208078335,31.123341020793248,IDS,KEGG_2016
Glutamatergic synapse_Homo sapiens_hsa04724,2/114,0.08647250888583898,1.0,0,0,4.079967360261119,9.987469326427194,GRIA1;HOMER1,KEGG_2016
Vitamin digestion and absorption_Homo sapiens_hsa04977,1/24,0.09830757280729437,1.0,0,0,9.689922480620154,22.47726954537001,APOA1,KEGG_2016
Lysosome_Homo sapiens_hsa04142,2/123,0.09831429456508352,1.0,0,0,3.781433163168842,8.771358837770931,IDS;AP1S3,KEGG_2016
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601,1/26,0.10605491252536184,1.0,0,0,8.94454382826476,20.069752024291308,B3GALT1,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,2/129,0.10644898188957604,1.0,0,0,3.60555255092843,8.076760237609221,GRIA1;CAMK2D,KEGG_2016
Circadian rhythm_Homo sapiens_hsa04710,1/30,0.12135275220631468,1.0,0,0,7.751937984496124,16.349253233821752,NPAS2,KEGG_2016
