Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
p53 signaling pathway_Homo sapiens_hsa04115,3/69,0.002056597881442337,0.6025831792626047,0,0,11.911852293031568,73.69508249310272,CDKN2A;GORAB;DDB2,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,2/47,0.01277596155216492,1.0,0,0,11.658408627222386,50.83287528363342,POLE4;DDB2,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,3/258,0.06836594979088538,1.0,0,0,3.1857279388340234,8.54692700980242,POLE4;CDKN2B;CDKN2A,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,2/124,0.0754020181993907,1.0,0,0,4.4189129474149365,11.422541925569053,CDKN2B;CDKN2A,KEGG_2016
Base excision repair_Homo sapiens_hsa03410,1/33,0.1137593866463937,1.0,0,0,8.302200083021999,18.04624080188764,POLE4,KEGG_2016
SNARE interactions in vesicular transport_Homo sapiens_hsa04130,1/34,0.11699950591866147,1.0,0,0,8.058017727639001,17.28916653594457,STX5,KEGG_2016
Prion diseases_Homo sapiens_hsa05020,1/35,0.12022794098244916,1.0,0,0,7.8277886497064575,16.582119998413955,C5,KEGG_2016
DNA replication_Homo sapiens_hsa03030,1/36,0.12344473334823387,1.0,0,0,7.6103500761035,15.920561083156278,POLE4,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.1393554990817365,1.0,0,0,6.682258603407951,13.168907874770305,CDKN2A,KEGG_2016
Cysteine and methionine metabolism_Homo sapiens_hsa00270,1/45,0.15187872804092215,1.0,0,0,6.088280060882801,11.474416550484552,MTAP,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,2/205,0.1721028225146462,1.0,0,0,2.6729034413631814,4.703409757341508,CDKN2B;CDKN2A,KEGG_2016
Staphylococcus aureus infection_Homo sapiens_hsa05150,1/56,0.18539833067989292,1.0,0,0,4.892367906066537,8.244856310053766,C5,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.18539833067989292,1.0,0,0,4.892367906066537,8.244856310053766,CDKN2A,KEGG_2016
Glioma_Homo sapiens_hsa05214,1/65,0.21184877234905347,1.0,0,0,4.214963119072708,6.5411279107813725,CDKN2A,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.21473490008633264,1.0,0,0,4.1511000415109995,6.385849043199968,CDKN2A,KEGG_2016
Inositol phosphate metabolism_Homo sapiens_hsa00562,1/71,0.22900991275740915,1.0,0,0,3.8587690526721983,5.687786954329543,PIP5KL1,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.22900991275740915,1.0,0,0,3.8587690526721983,5.687786954329543,CDKN2A,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,1/73,0.23464797994946024,1.0,0,0,3.7530493525989854,5.440678722312249,CDKN2A,KEGG_2016
Pertussis_Homo sapiens_hsa05133,1/75,0.2402453780074235,1.0,0,0,3.6529680365296806,5.209477514445072,C5,KEGG_2016
Endocytosis_Homo sapiens_hsa04144,2/259,0.24396324995182886,1.0,0,0,2.1156185539747185,2.9845828105654566,PIP5KL1;ASAP3,KEGG_2016
Cardiac muscle contraction_Homo sapiens_hsa04260,1/78,0.2485658527194631,1.0,0,0,3.512469265893923,4.889523946852245,UQCRHL,KEGG_2016
Complement and coagulation cascades_Homo sapiens_hsa04610,1/79,0.2513193218281669,1.0,0,0,3.468007629616785,4.789425870957527,C5,KEGG_2016
Peroxisome_Homo sapiens_hsa04146,1/83,0.2622340345044171,1.0,0,0,3.300874731803928,4.41827995535369,HACL1,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.2649380981124827,1.0,0,0,3.2615786040443573,4.332221370877852,CDKN2B,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,1/86,0.27031693312159105,1.0,0,0,3.1857279388340234,4.167442440277247,CDKN2B,KEGG_2016
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,1/93,0.2888389214514201,1.0,0,0,2.945941964943291,3.658524411475738,ASAP3,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,2/297,0.295397264958849,1.0,0,0,1.8449333517826667,2.2497747662919405,MIR34A;CDKN2A,KEGG_2016
Pyrimidine metabolism_Homo sapiens_hsa00240,1/105,0.3195180375197779,1.0,0,0,2.6092628832354863,2.9770164417407265,POLE4,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,1/120,0.3560366706812708,1.0,0,0,2.2831050228310503,2.3578117486378054,ZNF274,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,1/127,0.37241043213396574,1.0,0,0,2.15726458850178,2.130856910198439,SLIT2,KEGG_2016
FoxO signaling pathway_Homo sapiens_hsa04068,1/133,0.3861177580147544,1.0,0,0,2.0599443815017,1.96026961265918,CDKN2B,KEGG_2016
Oxidative phosphorylation_Homo sapiens_hsa00190,1/133,0.3861177580147544,1.0,0,0,2.0599443815017,1.96026961265918,UQCRHL,KEGG_2016
Systemic lupus erythematosus_Homo sapiens_hsa05322,1/135,0.3906209154789488,1.0,0,0,2.029426686960933,1.9076970368747448,C5,KEGG_2016
