Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
One carbon pool by folate_Homo sapiens_hsa00670,1/20,0.0724202061022377,1.0,0,0,13.333333333333336,35.00359904958493,FTCD,KEGG_2016
Histidine metabolism_Homo sapiens_hsa00340,1/24,0.08627061346912117,1.0,0,0,11.111111111111109,27.22518060980451,FTCD,KEGG_2016
"Glycine, serine and threonine metabolism_Homo sapiens_hsa00260",1/40,0.13966077554387374,1.0,0,0,6.666666666666668,13.12359218996336,GNMT,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,2/180,0.14643620149884418,1.0,0,0,2.9629629629629632,5.692342014890434,LTB4R2;PTGER1,KEGG_2016
Drug metabolism - other enzymes_Homo sapiens_hsa00983,1/46,0.15887826166448996,1.0,0,0,5.797101449275362,10.664446492349937,UCKL1,KEGG_2016
Complement and coagulation cascades_Homo sapiens_hsa04610,1/79,0.25724393907716264,1.0,0,0,3.3755274261603376,4.5830564218874565,SERPINC1,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.2711223215286049,1.0,0,0,3.1746031746031744,4.143445044398097,GDF5,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,2/277,0.2786031347352388,1.0,0,0,1.9253910950661852,2.4605862160443377,LTB4R2;PTGER1,KEGG_2016
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914,1/98,0.3086350881376858,1.0,0,0,2.7210884353741496,3.1988997128900865,ANAPC2,KEGG_2016
Choline metabolism in cancer_Homo sapiens_hsa05231,1/101,0.31642220211820793,1.0,0,0,2.64026402640264,3.0380933980379403,SLC5A7,KEGG_2016
Pyrimidine metabolism_Homo sapiens_hsa00240,1/105,0.3266705471368282,1.0,0,0,2.53968253968254,2.8414047417546504,UCKL1,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,1/111,0.34175945620001,1.0,0,0,2.4024024024024024,2.5793348560401013,SLC5A7,KEGG_2016
Oocyte meiosis_Homo sapiens_hsa04114,1/123,0.3709433815381904,1.0,0,0,2.1680216802168024,2.150039758113921,ANAPC2,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,1/124,0.3733169370716761,1.0,0,0,2.150537634408602,2.118983920179709,ANAPC2,KEGG_2016
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,1/137,0.4033806945750766,1.0,0,0,1.9464720194647205,1.7671523335997648,ANAPC2,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.43843459015027214,1.0,0,0,1.7429193899782136,1.4371148506677534,GDF5,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.6230377371428502,1.0,0,0,1.03359173126615,0.4890420555722668,ANAPC2,KEGG_2016
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060,1/265,0.6329502391234755,1.0,0,0,1.0062893081761006,0.4602399709256103,GDF5,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.7783235852592729,1.0,0,0,0.6717044500419815,0.16833781489023225,PTGER1,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,2/1239,0.9511179570129276,1.0,0,0,0.4304546677428033,0.02157317811762464,FTCD;UCKL1,KEGG_2016
