Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Cell cycle_Homo sapiens_hsa04110,4/124,0.00684743742227805,1.0,0,0,5.3319114902692615,26.573611280394438,CDKN2B;TFDP1;CCNE1;MCM6,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,3/86,0.015360056281465848,1.0,0,0,5.765904285988853,24.078329158820246,CDKN2B;CCNE1;LAMA3,KEGG_2016
DNA replication_Homo sapiens_hsa03030,2/36,0.01999966371262657,1.0,0,0,9.182736455463726,35.923230669772096,POLA1;MCM6,KEGG_2016
Glutathione metabolism_Homo sapiens_hsa00480,2/52,0.0395499347852425,1.0,0,0,6.357279084551813,20.535227169034414,MGST1;GCLM,KEGG_2016
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982,2/69,0.06552273417377533,1.0,0,0,4.790992933285423,13.057171445390034,ALDH3A1;MGST1,KEGG_2016
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980,2/73,0.07227864004603228,1.0,0,0,4.528472772557455,11.897324254567698,ALDH3A1;MGST1,KEGG_2016
Chemical carcinogenesis_Homo sapiens_hsa05204,2/82,0.08824187874071221,1.0,0,0,4.0314452731304184,9.787033311849793,ALDH3A1;MGST1,KEGG_2016
Purine metabolism_Homo sapiens_hsa00230,3/176,0.09122728371323996,1.0,0,0,2.8174305033809164,6.74605915604799,PRPS2;DGUOK;POLA1,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,2/84,0.0919208575837933,1.0,0,0,3.9354584809130255,9.393259802477079,CDKN2B;TFDP1,KEGG_2016
Phenylalanine metabolism_Homo sapiens_hsa00360,1/17,0.0980565383627986,1.0,0,0,9.722897423432183,22.57861978218521,ALDH3A1,KEGG_2016
Histidine metabolism_Homo sapiens_hsa00340,1/24,0.13560432072804945,1.0,0,0,6.887052341597795,13.760427274154994,ALDH3A1,KEGG_2016
Homologous recombination_Homo sapiens_hsa03440,1/29,0.1614709900485726,1.0,0,0,5.699629524080935,10.392874212805433,RAD51D,KEGG_2016
Pentose phosphate pathway_Homo sapiens_hsa00030,1/29,0.1614709900485726,1.0,0,0,5.699629524080935,10.392874212805433,PRPS2,KEGG_2016
Galactose metabolism_Homo sapiens_hsa00052,1/30,0.16655144983735598,1.0,0,0,5.5096418732782375,9.875763136433164,LCT,KEGG_2016
beta-Alanine metabolism_Homo sapiens_hsa00410,1/31,0.17160138113774456,1.0,0,0,5.3319114902692615,9.397926117688137,ALDH3A1,KEGG_2016
Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512,1/31,0.17160138113774456,1.0,0,0,5.3319114902692615,9.397926117688137,GCNT1,KEGG_2016
Tyrosine metabolism_Homo sapiens_hsa00350,1/35,0.19149944393653107,1.0,0,0,4.722550177095632,7.805763277881174,ALDH3A1,KEGG_2016
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960,1/39,0.2109234127459918,1.0,0,0,4.238186056367875,6.595720212606237,SCNN1B,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,10/1239,0.21696194434298305,1.0,0,0,1.3340537223433986,2.0384785284218983,PRPS2;ALDH3A1;DGUOK;POLA1;CYP4F3;LAMA3;GCNT1;MBOAT1;GCLM;LCT,KEGG_2016
Cysteine and methionine metabolism_Homo sapiens_hsa00270,1/45,0.2391948759651473,1.0,0,0,3.673094582185492,5.25427613842238,GCLM,KEGG_2016
Carbohydrate digestion and absorption_Homo sapiens_hsa04973,1/45,0.2391948759651473,1.0,0,0,3.673094582185492,5.25427613842238,LCT,KEGG_2016
Intestinal immune network for IgA production_Homo sapiens_hsa04672,1/48,0.25295154382023144,1.0,0,0,3.4435261707988976,4.733324156337423,CCL28,KEGG_2016
Glycerolipid metabolism_Homo sapiens_hsa00561,1/59,0.3013149155359368,1.0,0,0,2.8015128169211376,3.360692898543478,MBOAT1,KEGG_2016
Arachidonic acid metabolism_Homo sapiens_hsa00590,1/62,0.3139571606720469,1.0,0,0,2.6659557451346307,3.0885063539380937,CYP4F3,KEGG_2016
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010,1/67,0.3345253514355395,1.0,0,0,2.4670038238559266,2.701474314150086,ALDH3A1,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,3/341,0.3405610132809159,1.0,0,0,1.4541576791643442,1.5663619138594331,CCNE1;LAMA3;MTCP1,KEGG_2016
p53 signaling pathway_Homo sapiens_hsa04115,1/69,0.3425803263994981,1.0,0,0,2.395496466642712,2.566173479803716,CCNE1,KEGG_2016
