Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Glutathione metabolism_Homo sapiens_hsa00480,2/52,0.012789203835481992,1.0,0,0,11.655011655011654,50.80598967731846,GSTO2;GPX3,KEGG_2016
Arachidonic acid metabolism_Homo sapiens_hsa00590,2/62,0.0178580782947853,1.0,0,0,9.775171065493646,39.34798932159524,GPX3;PLA2G4B,KEGG_2016
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980,2/73,0.024250549838429176,1.0,0,0,8.302200083021999,30.878505505238966,GSTO2;AKR1C1,KEGG_2016
alpha-Linolenic acid metabolism_Homo sapiens_hsa00592,1/25,0.07935964428957401,1.0,0,0,12.12121212121212,30.712306645500554,PLA2G4B,KEGG_2016
Linoleic acid metabolism_Homo sapiens_hsa00591,1/29,0.09146801691010722,1.0,0,0,10.449320794148381,24.992329255702558,PLA2G4B,KEGG_2016
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141,2/169,0.1073361750531063,1.0,0,0,3.5861574323112784,8.003548670633867,DNAJB12;SEC31B,KEGG_2016
Ether lipid metabolism_Homo sapiens_hsa00565,1/45,0.13835271420668946,1.0,0,0,6.7340067340067336,13.319521579353907,PLA2G4B,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,1/47,0.14404311872744627,1.0,0,0,6.447453255963894,12.492860016897259,ERCC6,KEGG_2016
Ovarian steroidogenesis_Homo sapiens_hsa04913,1/50,0.15250939797562668,1.0,0,0,6.0606060606060606,11.397145810689672,PLA2G4B,KEGG_2016
Steroid hormone biosynthesis_Homo sapiens_hsa00140,1/58,0.17468503580396127,1.0,0,0,5.224660397074191,9.115834493428812,AKR1C1,KEGG_2016
Long-term depression_Homo sapiens_hsa04730,1/60,0.18013904565852595,1.0,0,0,5.05050505050505,8.656698234430094,PLA2G4B,KEGG_2016
VEGF signaling pathway_Homo sapiens_hsa04370,1/61,0.1828527239724489,1.0,0,0,4.967709885742672,8.440507884706681,PLA2G4B,KEGG_2016
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664,1/68,0.20160235613355587,1.0,0,0,4.45632798573975,7.136622351527637,PLA2G4B,KEGG_2016
PPAR signaling pathway_Homo sapiens_hsa03320,1/69,0.20424605314134425,1.0,0,0,4.391743522178305,6.975976588028628,SORBS1,KEGG_2016
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982,1/69,0.20424605314134425,1.0,0,0,4.391743522178305,6.975976588028628,GSTO2,KEGG_2016
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622,1/70,0.20688112837392567,1.0,0,0,4.329004329004329,6.820826449046828,OTUD5,KEGG_2016
Thyroid hormone synthesis_Homo sapiens_hsa04918,1/71,0.20950760957797396,1.0,0,0,4.2680324370465215,6.67091428814212,GPX3,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,1/74,0.21733576433090632,1.0,0,0,4.0950040950040965,6.25025315403152,SORBS1,KEGG_2016
RNA degradation_Homo sapiens_hsa03018,1/77,0.22508756085522197,1.0,0,0,3.935458480913027,5.868814612845483,EXOSC1,KEGG_2016
Chemical carcinogenesis_Homo sapiens_hsa05204,1/82,0.2378395256946101,1.0,0,0,3.695491500369549,5.307313726957597,GSTO2,KEGG_2016
