Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Mineral absorption_Homo sapiens_hsa04978,4/51,7.140590827307139e-05,0.020921931124009918,0,0,18.030200585981518,172.136667894878,TF;TRPV6;SLC26A9;TRPM6,KEGG_2016
Histidine metabolism_Homo sapiens_hsa00340,2/24,0.004851333763918145,0.7107203964140083,0,0,19.157088122605366,102.07857488447094,CARNS1;CNDP1,KEGG_2016
beta-Alanine metabolism_Homo sapiens_hsa00410,2/31,0.008013988926080462,0.7826995851138584,0,0,14.831294030404155,71.58422912259391,CARNS1;CNDP1,KEGG_2016
Ether lipid metabolism_Homo sapiens_hsa00565,2/45,0.016405018395611842,1.0,0,0,10.217113665389528,41.99405355022145,PLA2G4C;ENPP2,KEGG_2016
Arginine and proline metabolism_Homo sapiens_hsa00330,2/50,0.020017318109897504,1.0,0,0,9.195402298850576,35.964666433224444,CARNS1;CNDP1,KEGG_2016
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514,3/142,0.024086210292987503,1.0,0,0,4.856726566294318,18.096725542787546,CLDN11;MAG;CD22,KEGG_2016
Salivary secretion_Homo sapiens_hsa04970,2/89,0.05742543594072767,1.0,0,0,5.165956347668862,14.76052144624041,SLC12A2;TRPV6,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,2/120,0.09617176215589562,1.0,0,0,3.831417624521073,8.971722211044536,PPP1R14A;PLA2G4C,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,2/120,0.09617176215589562,1.0,0,0,3.831417624521073,8.971722211044536,S1PR5;CERS2,KEGG_2016
Vitamin digestion and absorption_Homo sapiens_hsa04977,1/24,0.09939427472817164,1.0,0,0,9.578544061302683,22.113608862898346,FOLH1,KEGG_2016
Fatty acid elongation_Homo sapiens_hsa00062,1/25,0.10331660985238016,1.0,0,0,9.195402298850576,20.873168950867495,ELOVL1,KEGG_2016
alpha-Linolenic acid metabolism_Homo sapiens_hsa00592,1/25,0.10331660985238016,1.0,0,0,9.195402298850576,20.873168950867495,PLA2G4C,KEGG_2016
Linoleic acid metabolism_Homo sapiens_hsa00591,1/29,0.11883779721998836,1.0,0,0,7.927070947284979,16.884627540529838,PLA2G4C,KEGG_2016
Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512,1/31,0.12649849758251608,1.0,0,0,7.415647015202078,15.33203446572597,GALNT6,KEGG_2016
"Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250",1/35,0.14162293197307202,1.0,0,0,6.568144499178983,12.83801091541847,FOLH1,KEGG_2016
