Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Autoimmune thyroid disease_Homo sapiens_hsa05320,1/53,0.16756872462309955,1.0,0,0,5.468963631391852,9.769547255171988,TG,KEGG_2016
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010,1/67,0.2070004899280388,1.0,0,0,4.3261951113995245,6.813904905548125,GAPDH,KEGG_2016
Thyroid hormone synthesis_Homo sapiens_hsa04918,1/71,0.21792458698349104,1.0,0,0,4.082465809348847,6.220070248252549,TG,KEGG_2016
Biosynthesis of amino acids_Homo sapiens_hsa01230,1/74,0.2260202056251505,1.0,0,0,3.9169604386995696,5.825032817411898,GAPDH,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,1/103,0.3001407684491829,1.0,0,0,2.814126917123962,3.3868121182358317,GAPDH,KEGG_2016
Carbon metabolism_Homo sapiens_hsa01200,1/113,0.3240409245099103,1.0,0,0,2.5650891368475053,2.890561654355518,GAPDH,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,1/118,0.3356875268004864,1.0,0,0,2.456398919184476,2.6813424993339625,GATA4,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,1/167,0.4398539606603124,1.0,0,0,1.73565911654951,1.4255185537681934,GATA4,KEGG_2016
Alzheimer's disease_Homo sapiens_hsa05010,1/168,0.4418027328160117,1.0,0,0,1.725327812284334,1.4094061462640843,GAPDH,KEGG_2016
RNA transport_Homo sapiens_hsa03013,1/172,0.449531227256974,1.0,0,0,1.6852039096730704,1.347404712485634,EIF1AX,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,1/277,0.6186275038296892,1.0,0,0,1.0464082038403182,0.5025395890830133,KISS1R,KEGG_2016
Olfactory transduction_Homo sapiens_hsa04740,1/415,0.7652654582981746,1.0,0,0,0.6984459577440196,0.18685699391397503,OR8B8,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.9879690437977906,1.0,0,0,0.2339427542080453,0.0028316229576454965,GAPDH,KEGG_2016
