Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Melanoma_Homo sapiens_hsa05218,2/71,0.021109348560043515,1.0,0,0,8.94254415381176,34.500686580857504,FGF17;FGF13,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,2/211,0.1428124230096266,1.0,0,0,3.009102535168886,5.8563852764457724,FGF17;FGF13,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,2/214,0.14606119787104446,1.0,0,0,2.9669188547693217,5.707549567120532,FGF17;FGF13,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,2/227,0.1603121956324555,1.0,0,0,2.7970072022935457,5.120291286505341,FGF17;FGF13,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,2/255,0.19179434375263493,1.0,0,0,2.4898848428260187,4.111625539516828,FGF17;FGF13,KEGG_2016
p53 signaling pathway_Homo sapiens_hsa04115,1/69,0.19592604597187427,1.0,0,0,4.6008741660915575,7.499507740618447,TP73,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,2/341,0.2917541976988368,1.0,0,0,1.8619373458083133,2.293615640123888,FGF17;FGF13,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,1/111,0.29613540805056265,1.0,0,0,2.86000286000286,3.4804475035908884,KCNQ5,KEGG_2016
Glutamatergic synapse_Homo sapiens_hsa04724,1/114,0.3028032098346455,1.0,0,0,2.7847396268448903,3.3268508965867727,DLGAP1,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,1/120,0.3159528684217903,1.0,0,0,2.6455026455026456,3.0480482197969083,TP73,KEGG_2016
Measles_Homo sapiens_hsa05162,1/136,0.3498370862325765,1.0,0,0,2.334267040149393,2.4516519625803364,TP73,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,2/397,0.35658592700712105,1.0,0,0,1.5992963096237656,1.649162430446976,FGF17;FGF13,KEGG_2016
Olfactory transduction_Homo sapiens_hsa04740,2/415,0.37703876452189933,1.0,0,0,1.5299292407726144,1.4923041088615052,OR4K2;OR4N2,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.38402957424876427,1.0,0,0,2.074904035688349,1.9857572633824825,TP73,KEGG_2016
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141,1/169,0.4145911622712436,1.0,0,0,1.8784634169249552,1.6539163998974469,SEC31B,KEGG_2016
Transcriptional misregulation in cancer_Homo sapiens_hsa05202,1/180,0.4347315312509076,1.0,0,0,1.7636684303350971,1.469182730086617,JMJD1C,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,1/199,0.4679254281615899,1.0,0,0,1.595277977187525,1.2115280167436635,SSTR5,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,1/277,0.5852259002216571,1.0,0,0,1.1460661280155866,0.6140133540353908,SSTR5,KEGG_2016
