Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Melanoma_Homo sapiens_hsa05218,1/71,0.120269215535787,1.0,0,0,7.82472613458529,16.57294668393564,FGF17,KEGG_2016
Olfactory transduction_Homo sapiens_hsa04740,2/415,0.17124650759198518,1.0,0,0,2.6773761713520754,4.724635062038018,OR4K2;OR4N2,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,1/111,0.18170470621693086,1.0,0,0,5.005005005005005,8.535397411845091,KCNQ5,KEGG_2016
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141,1/169,0.2634370982943263,1.0,0,0,3.287310979618672,4.3850777634731095,SEC31B,KEGG_2016
Transcriptional misregulation in cancer_Homo sapiens_hsa05202,1/180,0.2780161719481259,1.0,0,0,3.0864197530864197,3.95085183490179,JMJD1C,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,1/199,0.3025400389917896,1.0,0,0,2.7917364600781687,3.337637213753926,SSTR5,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,1/211,0.31760946044263505,1.0,0,0,2.632964718272776,3.019833498591088,FGF17,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,1/214,0.3213270703230478,1.0,0,0,2.5960539979231565,2.947289106764165,FGF17,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,1/227,0.3372104396913845,1.0,0,0,2.447381302006853,2.6604211781566893,FGF17,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,1/255,0.3702029353459467,1.0,0,0,2.178649237472767,2.1649323524896324,FGF17,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,1/277,0.3950000941077931,1.0,0,0,2.0056157240272765,1.8629548251774293,SSTR5,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,1/341,0.4618611865578526,1.0,0,0,1.6291951775822744,1.2585384409321234,FGF17,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.514426663187862,1.0,0,0,1.3993842709207949,0.9301739068473298,FGF17,KEGG_2016
